Player Name               ,Player ID
Aaron Baddeley            ,    22371
Aaron Rai                 ,    46414
Aaron Wise                ,    49964
Adam Hadwin               ,    33399
Adam Long                 ,    35449
Adam Schenk               ,    47347
Adam Scott                ,    24502
Adam Svensson             ,    40115
Adrien Dumont de Chassart ,    50497
Akshay Bhatia             ,    56630
Alejandro Tosti           ,    38991
Alex Noren                ,    27349
Alex Smalley              ,    46340
Alexander Björk           ,    34310
Anders Albertson          ,    49303
Andrew Landry             ,    33410
Andrew Novak              ,    51997
Andrew Putnam             ,    34256
Austin Cook               ,    46435
Austin Eckroat            ,    57362
Austin Smotherman         ,    50095
Beau Hossler              ,    35461
Ben Crane                 ,    23541
Ben Griffin               ,    54591
Ben Kohles                ,    36884
Ben Martin                ,    33413
Ben Silverman             ,    39327
Ben Taylor                ,    48119
Bernhard Langer           ,    01666
Bill Haas                 ,    24924
Billy Horschel            ,    29420
"Blaine Hale, Jr."        ,    60767
Bo Van Pelt               ,    23623
Brandon Matthews          ,    51491
Brandon Wu                ,    52374
Brandt Snedeker           ,    27649
Brendon Todd              ,    30927
Brian Davis               ,    21753
Brian Gay                 ,    19846
Brian Harman              ,    27644
Brian Stuard              ,    31560
Brice Garnett             ,    29535
Briny Baird               ,    20498
Bronson Burgoon           ,    29268
Bud Cauley                ,    34021
Byeong Hun An             ,    33948
C.T. Pan                  ,    29908
Callum Tarren             ,    48699
Cam Davis                 ,    45157
Cameron Champ             ,    52372
Cameron Young             ,    57366
Camilo Villegas           ,    27770
Carl Yuan                 ,    55454
Carlos Franco             ,    12823
Carson Young              ,    52513
Chad Ramey                ,    47983
Chan Kim                  ,    34587
Chandler Phillips         ,    57900
Charley Hoffman           ,    12716
Chesson Hadley            ,    34563
Chez Reavie               ,    26476
Chris Gotterup            ,    59095
Chris Kirk                ,    30926
Chris Stroud              ,    27963
Christiaan Bezuidenhout   ,    45522
Collin Morikawa           ,    50525
Corey Conners             ,    39997
D.A. Points               ,    25240
D.J. Trahan               ,    23788
Daniel Berger             ,    40026
Danny Willett             ,    32139
David Hearn               ,    26758
David Lingmerth           ,    34409
David Lipsky              ,    36326
David Skinns              ,    27139
Davis Love III            ,    01706
Davis Riley               ,    47995
Davis Thompson            ,    58168
Denny McCarthy            ,    47993
Dicky Pride               ,    10213
Doug Ghim                 ,    52375
Dylan Frittelli           ,    29970
Dylan Wu                  ,    54783
Emiliano Grillo           ,    31646
Eric Cole                 ,    47591
Erik Barnes               ,    34374
Erik van Rooyen           ,    40006
Fabián Gómez              ,    28679
Francesco Molinari        ,    25198
Fred Funk                 ,    01381
Garrick Higgo             ,    54421
Gary Woodland             ,    31323
Grayson Murray            ,    34213
Greg Chalmers             ,    20593
Greyson Sigg              ,    51890
Harris English            ,    34099
Harrison Endycott         ,    47079
Harry Hall                ,    57975
Harry Higgs               ,    33597
Hayden Buckley            ,    55708
Hayden Springer           ,    50484
Henrik Norlander          ,    30163
Hideki Matsuyama          ,    32839
J.B. Holmes               ,    27141
J.J. Henry                ,    23353
J.J. Spaun                ,    39324
J.T. Poston               ,    49771
Jacob Bridgeman           ,    60004
Jake Knapp                ,    47420
James Hahn                ,    32448
Jason Day                 ,    28089
Jason Dufner              ,    25686
Jhonattan Vegas           ,    27064
Jim Furyk                 ,    10809
Jim Herman                ,    31557
Jimmy Stanger             ,    51600
Jimmy Walker              ,    25632
Joe Highsmith             ,    60067
Joel Dahmen               ,    34076
John Daly                 ,    01249
John Huh                  ,    34174
John Merrick              ,    27933
Jonas Blixt               ,    27895
Jonathan Byrd             ,    24925
Jordan Spieth             ,    34046
Jorge Campillo            ,    32367
Joseph Bramlett           ,    34255
Josh Teater               ,    27330
José María Olazábal       ,    06373
Justin Lower              ,    40162
Justin Rose               ,    22405
Justin Suh                ,    50493
Justin Thomas             ,    33448
K.H. Lee                  ,    32791
Keegan Bradley            ,    33141
Keith Mitchell            ,    39546
Kelly Kraft               ,    35879
Ken Duke                  ,    20104
Kevin Chappell            ,    32366
Kevin Dougherty           ,    47663
Kevin Kisner              ,    29478
Kevin Stadler             ,    26679
Kevin Streelman           ,    27214
Kevin Tway                ,    32333
Kevin Yu                  ,    45242
Kramer Hickok             ,    49298
Kurt Kitayama             ,    48117
Kyle Stanley              ,    30110
Lanto Griffin             ,    35310
Lee Hodges                ,    54628
Lucas Glover              ,    25900
Ludvig Åberg              ,    52955
Luke Donald               ,    23983
Luke List                 ,    27129
MJ Daffue                 ,    39067
Mac Meissner              ,    59143
Mackenzie Hughes          ,    35506
Mark Hubbard              ,    36801
Martin Laird              ,    27936
Martin Trainer            ,    35617
Matt Every                ,    28307
Matt Fitzpatrick          ,    40098
Matt Kuchar               ,    23108
Matt NeSmith              ,    36871
Matt Wallace              ,    48887
Matthias Schwab           ,    34610
Matthieu Pavon            ,    48153
Matti Schmid              ,    48867
Maverick McNealy          ,    46442
Max Greyserman            ,    51977
Max Homa                  ,    39977
Michael Kim               ,    39975
Michael Thompson          ,    32150
Michael Thorbjornsen      ,    57364
Min Woo Lee               ,    37378
Nate Lashley              ,    28775
Nicholas Lindheim         ,    37278
Nick Dunlap               ,    59866
Nick Hardy                ,    47988
Nick Taylor               ,    25493
Nick Watney               ,    27095
Nico Echavarria           ,    51349
Nicolai Højgaard          ,    52453
Norman Xiong              ,    54328
Parker Coody              ,    59442
Patrick Cantlay           ,    35450
Patrick Fishburn          ,    54576
Patrick Rodgers           ,    36699
Patton Kizzire            ,    32757
Paul Barjon               ,    37212
Paul Haley II             ,    35901
Peter Malnati             ,    34466
Philip Knowles            ,    54813
Pierceson Coody           ,    59836
Rafael Campos             ,    32070
Raul Pereda               ,    47806
Retief Goosen             ,    20157
Rich Beem                 ,    23614
Richy Werenski            ,    47128
Rickie Fowler             ,    32102
Ricky Barnes              ,    24846
Rico Hoey                 ,    51696
Robby Shelton             ,    46441
Robert Garrigus           ,    24358
Robert MacIntyre          ,    52215
Robert Streb              ,    34431
Rod Pampling              ,    20572
Roger Sloan               ,    33486
Rory McIlroy              ,    28237
Rory Sabbatini            ,    23621
Russell Henley            ,    34098
Russell Knox              ,    33122
Ryan Armour               ,    19803
Ryan Brehm                ,    28420
Ryan Fox                  ,    29936
Ryan McCormick            ,    46113
Ryan Moore                ,    26596
Ryan Palmer               ,    23320
Ryo Hisatsune             ,    51287
S.H. Kim                  ,    50188
S.Y. Noh                  ,    29289
Sahith Theegala           ,    51634
Sam Burns                 ,    47504
Sam Ryder                 ,    37275
Sam Stevens               ,    55893
Sami Valimaki             ,    52666
Sangmoon Bae              ,    28259
Satoshi Kodaira           ,    32816
Scott Brown               ,    29479
Scott Gutschewski         ,    24980
Scott Piercy              ,    25818
Scott Stallings           ,    30692
Scottie Scheffler         ,    46046
Seamus Power              ,    28252
Sean O'Hair               ,    24140
Sepp Straka               ,    49960
Shane Lowry               ,    33204
Si Woo Kim                ,    37455
Stephan Jaeger            ,    36799
Stewart Cink              ,    20229
Sung Kang                 ,    27974
Sungjae Im                ,    39971
Taylor Montgomery         ,    55789
Taylor Moore              ,    49947
Taylor Pendrith           ,    40250
"Ted Potter, Jr."         ,    27556
Thomas Detry              ,    33653
Thorbjørn Olesen          ,    33968
Tiger Woods               ,    08793
Tim Clark                 ,    23135
Tim Wilkinson             ,    25349
Tom Hoge                  ,    35532
Tom Kim                   ,    55182
Tom Lehman                ,    01677
Tom Whitney               ,    48319
Tommy Fleetwood           ,    30911
Tommy Gainey              ,    30750
Tony Finau                ,    29725
Trace Crowe               ,    52514
Trey Mullinax             ,    46601
Troy Merritt              ,    32640
Tyler Duncan              ,    45609
Tyler McCumber            ,    40042
Tyson Alexander           ,    33408
Vaughn Taylor             ,    23325
Victor Perez              ,    47679
Vijay Singh               ,    06567
Viktor Hovland            ,    46717
Vince Covello             ,    32982
Vince Whaley              ,    51894
Vincent Norrman           ,    51070
Webb Simpson              ,    29221
Wesley Bryan              ,    48084
Will Gordon               ,    56762
Will Zalatoris            ,    47483
William McGirt            ,    31202
Wilson Furr               ,    56149
Wyndham Clark             ,    51766
Xander Schauffele         ,    48081
Zac Blair                 ,    40058
Zach Johnson              ,    24024
Zecheng Dou               ,    37338
